date,week,charge_mwh,discharge_mwh,gross_yuan,aux_cost_yuan,net_yuan,avg_charge_price,avg_discharge_price,opt_charge_4h_cont_price,opt_discharge_4h_cont_price,opt_charge_nc_price,opt_discharge_nc_price,chg_slots,dis_slots,m11_unit_power_rev_yuan_mw,m12_energy_rev_yuan_mwh,m13_net_energy_rev_yuan_mwh,m21_spread_utilization_pct,m22_discharge_capture_pct,m23_charge_capture_pct,m24_avg_spread_yuan_mwh,m25_rte_breakeven_yuan_mwh,m26_top_dis_capture_pct,m27_bot_chg_capture_pct
2026-01-27,2026-W05,684.59,566.64,38810.0,7925.0,30885.0,375.38,511.82,286.12,711.12,275.24,953.65,20,17,199.03,31.02,24.68,32.1,79.2,47.9,136.44,46.06,18.1,27.7
2026-01-28,2026-W05,708.44,718.07,62684.0,10844.0,51840.0,609.08,663.61,486.75,1089.0,329.46,1081.14,20,28,321.46,43.94,36.34,9.1,39.6,37.5,54.53,59.72,6.2,33.6
2026-01-29,2026-W05,712.83,628.3,-246649.0,12717.0,-259366.0,772.62,492.66,485.25,1021.0,360.04,1188.69,20,18,-1264.87,-183.91,-193.39,-52.3,27.1,52.1,-279.97,44.34,7.4,5.5
2026-01-30,2026-W05,710.75,635.24,17344.0,7655.0,9689.0,323.53,339.79,208.75,684.02,209.0,796.13,20,19,88.94,12.89,7.2,3.4,30.2,30.2,16.27,30.58,0.0,35.5
2026-01-31,2026-W05,907.48,806.89,148772.0,3056.0,145717.0,48.42,240.29,-50.0,395.0,-50.0,403.33,28,27,762.93,86.78,85.0,43.1,51.0,38.5,191.87,21.63,0.0,29.9
2026-02-01,2026-W05,895.91,828.74,241952.0,4922.0,237031.0,21.07,285.11,-50.0,391.25,-50.0,410.58,28,26,1240.78,140.29,137.44,59.8,63.5,40.6,264.04,25.66,13.8,6.1
2026-02-02,2026-W06,1103.49,983.98,-81527.0,2201.0,-83728.0,225.09,155.63,-50.0,522.5,-50.0,508.39,32,28,-418.09,-39.06,-40.11,-12.1,50.0,52.1,-69.46,14.01,3.8,33.7
2026-02-03,2026-W06,970.85,860.82,53832.0,652.0,53180.0,9.77,65.59,-50.0,197.8,-50.0,219.68,36,29,276.06,29.39,29.03,22.5,52.1,51.0,55.82,5.9,0.4,23.8
2026-02-04,2026-W06,1045.41,939.37,-1751.0,20.0,-1771.0,30.6,19.64,-50.0,180.0,-50.0,185.51,32,29,-8.98,-0.88,-0.89,-4.8,67.7,69.8,-10.96,1.77,11.2,47.7
2026-02-05,2026-W06,1143.45,1034.46,426858.0,5383.0,421475.0,133.06,524.42,-50.0,714.94,27.62,643.32,28,29,2189.02,195.99,193.52,51.2,78.1,22.9,391.36,47.2,38.5,33.2
2026-02-06,2026-W06,312.81,300.89,-65654.0,8341.0,-73995.0,295.16,88.41,28.11,660.29,-21.25,650.74,16,21,-336.69,-106.98,-120.57,-32.7,20.8,53.1,-206.75,7.96,0.0,5.3
2026-02-07,2026-W06,718.52,641.45,245811.0,1251.0,244560.0,-50.0,327.2,-50.0,330.0,-50.0,333.68,20,19,1260.57,180.75,179.83,99.3,92.7,0.0,377.2,29.45,54.3,36.6
2026-02-08,2026-W06,888.56,578.48,58819.0,847.0,57972.0,-13.82,116.01,-50.0,283.75,-50.12,267.73,25,30,301.64,40.09,39.52,38.9,66.7,45.8,129.82,10.44,34.3,26.0
2026-02-09,2026-W07,616.37,726.32,-15952.0,-238.0,-15714.0,-18.6,-30.72,-50.0,82.92,-50.0,97.08,20,27,-81.81,-11.88,-11.7,-9.1,78.1,78.1,-12.12,-2.76,5.9,41.7
2026-02-10,2026-W07,903.88,923.52,283054.0,2338.0,280716.0,2.15,313.69,-50.0,481.52,-50.0,381.11,24,31,1451.56,154.89,153.61,58.6,81.2,31.2,311.54,28.23,35.0,30.8
2026-02-11,2026-W07,948.65,662.05,113614.0,-476.0,114090.0,-14.88,152.69,-50.0,164.34,-50.12,184.51,25,28,582.64,70.54,70.83,78.2,84.4,63.5,167.56,13.74,60.9,51.0
2026-02-12,2026-W07,946.88,1206.15,190473.0,306.0,190167.0,-5.18,173.6,-50.0,274.38,-50.48,268.72,25,43,976.78,88.47,88.33,55.1,60.4,43.8,178.78,15.62,34.2,14.4
2026-02-13,2026-W07,965.25,397.64,24866.0,-196.0,25063.0,-24.62,62.64,-50.0,169.95,-50.29,126.22,29,33,127.52,18.25,18.39,39.7,77.1,70.8,87.25,5.64,31.0,59.6
2026-02-14,2026-W07,908.82,1028.94,-5261.0,-237.0,-5024.0,-46.32,-47.45,-50.25,-13.75,-50.22,-30.69,32,39,-26.98,-2.71,-2.59,-3.1,87.5,88.5,-1.12,-4.27,5.6,24.6
2026-02-15,2026-W07,1015.05,1344.88,354103.0,823.0,353281.0,10.33,280.8,-50.0,336.88,-50.0,318.67,33,45,1815.91,150.05,149.7,69.9,65.6,37.5,270.47,25.27,34.6,13.4
2026-02-16,2026-W08,814.29,729.66,220391.0,4231.0,216160.0,-18.2,280.93,-50.0,340.0,-50.0,340.0,24,26,1130.21,142.74,140.0,76.7,52.1,27.1,299.13,25.28,0.0,36.5
2026-02-17,2026-W08,1059.61,373.13,25990.0,-166.0,26156.0,-26.8,-1.11,-50.0,177.5,-50.0,121.3,37,23,133.28,18.14,18.26,11.3,79.2,79.2,25.7,-0.1,24.1,3.1
2026-02-18,2026-W08,970.54,799.24,17428.0,-676.0,18104.0,-40.15,-37.07,-50.09,-21.88,-50.04,-32.0,33,25,89.37,9.85,10.23,10.9,96.9,96.9,3.08,-3.34,22.1,2.3
2026-02-19,2026-W08,0.0,0.65,-32.0,-1180.0,1148.0,,-50.0,-50.32,-50.0,-50.33,-50.0,0,1,-0.16,-49.23,1766.15,,3.1,,,-4.5,0.0,
2026-02-20,2026-W08,0.0,0.0,0.0,-1107.0,1107.0,,,-50.0,-50.0,-50.0,-50.0,0,0,,,,,,,,,,
2026-02-21,2026-W08,0.0,0.0,0.0,1311.0,-1311.0,,,-50.0,265.6,-50.0,268.38,0,0,,,,,,,,,,
2026-02-22,2026-W08,1071.53,1703.62,119307.0,-363.0,119671.0,-50.0,38.58,-50.0,212.39,-50.0,83.02,28,47,611.83,42.99,43.12,33.8,72.9,70.8,88.58,3.47,19.0,42.5
2026-02-23,2026-W09,1033.8,627.4,144025.0,3354.0,140671.0,-44.86,205.09,-50.0,313.12,-50.0,300.0,33,25,738.59,86.7,84.68,68.8,70.8,41.7,249.95,18.46,16.5,52.6
2026-02-24,2026-W09,1016.62,605.8,86362.0,-72.0,86434.0,14.65,180.7,-51.0,255.0,-50.61,275.26,33,19,442.88,53.23,53.27,54.3,77.1,72.9,166.05,16.26,43.9,39.5
2026-02-25,2026-W09,141.68,317.81,77086.0,638.0,76448.0,-50.0,220.26,-50.0,308.12,-50.0,327.5,4,13,395.31,167.76,166.38,75.5,67.7,0.0,270.26,19.82,65.2,100.0
2026-02-26,2026-W09,895.14,1350.55,52056.0,2937.0,49118.0,287.06,189.6,12.69,415.55,33.88,386.66,28,41,266.95,23.18,21.87,-24.2,34.4,64.6,-97.47,17.06,22.6,3.0
2026-02-27,2026-W09,1006.03,784.06,-238725.0,3311.0,-242036.0,362.48,142.75,61.8,406.18,58.13,458.45,32,28,-1224.23,-133.36,-135.21,-63.8,27.1,83.3,-219.73,12.85,6.8,0.0
2026-02-28,2026-W09,1011.94,817.56,-28582.0,2129.0,-30711.0,189.84,242.06,66.99,395.71,60.26,385.06,25,28,-146.57,-15.62,-16.79,15.9,68.8,46.9,52.22,21.79,20.2,24.9
2026-03-01,2026-W09,745.67,723.37,12067.0,3390.0,8677.0,313.56,376.08,251.75,748.59,235.23,660.83,24,32,61.88,8.21,5.91,12.6,64.6,47.9,62.52,33.85,3.3,16.0
2026-03-02,2026-W10,1071.27,542.28,55687.0,-86.0,55773.0,-35.1,107.67,-50.81,195.42,-50.74,234.8,29,17,285.57,34.51,34.57,58.0,79.2,64.6,142.77,9.69,54.5,50.2
2026-03-03,2026-W10,1078.68,1321.8,228286.0,913.0,227373.0,18.79,182.3,-50.0,338.99,-50.11,321.94,32,37,1170.7,95.1,94.72,42.0,44.8,40.6,163.52,16.41,24.5,13.5
2026-03-04,2026-W10,1185.41,1056.78,-111433.0,4912.0,-116345.0,377.91,286.76,274.34,451.79,245.78,438.87,32,32,-571.45,-49.7,-51.89,-51.4,30.2,81.2,-91.15,25.81,0.4,22.1
2026-03-05,2026-W10,1189.44,739.74,184692.0,2388.0,182305.0,5.31,210.41,-50.0,302.5,-50.0,303.33,32,21,947.14,95.74,94.5,58.2,58.3,47.9,205.1,18.94,22.7,54.5
2026-03-06,2026-W10,1211.35,1259.07,6264.0,5120.0,1144.0,374.97,354.45,308.58,411.88,271.31,493.28,35,38,32.12,2.54,0.46,-19.9,62.5,62.5,-20.52,31.9,15.6,13.4
2026-03-07,2026-W10,1275.43,881.28,74452.0,65.0,74388.0,16.8,149.32,-50.0,198.12,-50.0,222.69,39,28,381.81,34.52,34.49,53.4,68.8,52.1,132.52,13.44,37.2,16.3
2026-03-08,2026-W10,1152.91,1624.78,418306.0,1874.0,416432.0,42.0,286.77,-50.0,320.78,-50.0,309.75,28,44,2145.16,150.59,149.92,66.0,53.1,31.2,244.77,25.81,28.7,25.0
2026-03-09,2026-W11,1175.81,565.57,22458.0,4288.0,18169.0,76.77,118.86,-50.0,433.12,-50.14,336.93,28,29,115.17,12.9,10.43,8.7,71.9,64.6,42.09,10.7,27.1,21.1
2026-03-10,2026-W11,1072.66,1366.29,312221.0,714.0,311508.0,14.61,256.61,-50.0,304.7,-50.0,301.5,29,44,1601.13,128.01,127.72,68.2,63.5,36.5,241.99,23.09,28.9,20.8
2026-03-11,2026-W11,838.25,610.62,-38094.0,3848.0,-41941.0,391.24,451.04,40.56,744.04,-14.35,655.71,20,32,-195.35,-26.29,-28.95,8.5,68.8,62.5,59.79,40.59,31.0,0.0
2026-03-12,2026-W11,303.65,0.38,15164.0,-276.0,15440.0,-50.0,-47.0,-50.69,128.58,-51.62,167.11,8,1,77.76,49.88,50.78,1.7,75.0,7.3,3.0,-4.23,0.0,0.0
2026-03-13,2026-W11,838.1,755.37,-81067.0,5363.0,-86429.0,25.74,-38.04,-47.18,489.38,-50.46,519.44,20,18,-415.73,-50.87,-54.24,-11.9,28.1,31.2,-63.78,-3.42,0.0,8.8
2026-03-14,2026-W11,837.71,1134.25,261325.0,3269.0,258056.0,290.35,437.64,258.26,523.35,236.11,469.05,20,51,1340.13,132.52,130.86,55.6,58.3,47.9,147.29,39.39,23.0,14.2
2026-03-15,2026-W11,837.93,1130.11,92686.0,3664.0,89023.0,326.79,332.35,226.54,439.6,209.71,409.36,20,41,475.31,47.1,45.23,2.6,76.0,76.0,5.57,29.91,16.9,8.8
2026-03-16,2026-W12,1049.21,286.63,-45363.0,359.0,-45722.0,36.0,40.98,-50.17,218.12,-51.47,301.25,29,16,-232.63,-33.96,-34.23,1.9,69.8,69.8,4.98,3.69,10.7,2.9
2026-03-17,2026-W12,1132.56,1221.65,213814.0,2787.0,211027.0,166.27,277.1,-51.38,452.97,-14.69,389.85,36,40,1096.48,90.82,89.64,22.0,64.6,39.6,110.83,24.94,18.9,15.6
2026-03-18,2026-W12,1185.15,1169.16,235452.0,-68.0,235521.0,38.8,240.29,-50.0,302.5,-49.77,279.91,40,38,1207.45,100.01,100.04,57.2,74.0,43.8,201.48,21.63,32.8,41.6
2026-03-19,2026-W12,1098.2,1339.62,396910.0,284.0,396626.0,25.58,309.41,-50.0,469.38,-50.0,371.4,32,46,2035.44,162.81,162.7,54.6,78.1,39.6,283.82,27.85,24.3,36.5
2026-03-20,2026-W12,1183.66,883.08,116453.0,2153.0,114300.0,30.85,146.35,-50.0,410.62,-50.0,347.03,39,31,597.19,56.35,55.3,25.1,55.2,45.8,115.5,13.17,15.0,8.7
2026-03-21,2026-W12,1173.95,603.28,52532.0,-410.0,52942.0,-37.93,12.81,-50.0,40.75,-50.0,69.54,36,29,269.39,29.56,29.79,55.9,80.2,78.1,50.74,1.15,30.4,23.3
2026-03-22,2026-W12,862.16,1403.9,298481.0,1891.0,296591.0,176.14,342.77,138.12,584.94,165.37,425.77,28,53,1530.67,131.72,130.88,37.3,68.8,8.3,166.63,30.85,21.6,38.3
2026-03-23,2026-W13,1178.75,752.53,98841.0,1223.0,97618.0,-15.25,115.32,-50.0,353.12,-50.0,288.72,36,28,506.88,51.18,50.55,32.4,66.7,49.0,130.56,10.38,17.6,15.2
2026-03-24,2026-W13,1186.55,1042.23,175862.0,-256.0,176118.0,11.34,171.91,-50.94,274.38,-50.42,241.52,36,34,901.86,78.91,79.02,49.4,66.7,59.4,160.57,15.47,44.8,11.7
2026-03-25,2026-W13,1188.14,1494.26,453139.0,-113.0,453252.0,68.22,327.17,-50.0,453.75,-50.0,385.17,32,49,2323.79,168.93,168.97,51.4,69.8,41.7,258.95,29.45,26.5,13.0
2026-03-26,2026-W13,1188.29,541.84,-139354.0,4098.0,-143451.0,355.53,470.48,94.64,803.75,104.27,809.45,32,19,-714.64,-80.55,-82.91,16.2,55.2,52.1,114.94,42.34,0.8,22.8
2026-03-27,2026-W13,952.42,1414.15,481350.0,700.0,480650.0,291.92,541.63,221.25,621.25,252.92,564.48,36,61,2468.46,203.4,203.1,62.4,85.4,20.8,249.71,48.75,22.9,22.2
2026-03-28,2026-W13,1170.8,856.49,-251088.0,4160.0,-255248.0,388.23,251.26,202.92,423.2,216.35,452.75,32,32,-1287.63,-123.85,-125.91,-62.2,25.0,72.9,-136.97,22.61,0.0,0.0
2026-03-29,2026-W13,1127.68,635.3,-149283.0,2227.0,-151509.0,262.7,271.35,215.85,393.09,229.54,384.02,33,20,-765.55,-84.68,-85.94,4.9,30.2,26.0,8.65,24.42,6.2,24.5
2026-03-30,2026-W14,837.54,1401.7,146854.0,3478.0,143376.0,423.5,378.92,271.25,659.02,243.0,536.33,20,43,753.1,65.58,64.03,-11.5,65.6,66.7,-44.57,34.1,14.4,0.0
2026-03-31,2026-W14,1087.64,468.64,16315.0,932.0,15382.0,21.24,145.83,-50.2,292.24,-50.11,302.78,29,18,83.67,10.48,9.88,36.4,55.2,53.1,124.59,13.12,0.0,0.0
2026-04-01,2026-W14,916.23,999.94,236445.0,4704.0,231742.0,225.77,421.47,34.26,508.62,55.55,504.63,24,37,1212.54,123.39,120.94,41.3,62.5,24.0,195.71,37.93,32.5,10.3
2026-04-02,2026-W14,1187.23,751.68,103237.0,23.0,103215.0,43.37,164.21,-50.7,300.62,-51.07,293.11,32,19,529.42,53.24,53.23,34.4,72.9,70.8,120.85,14.78,58.1,13.4
2026-04-03,2026-W14,0.0,683.9,290338.0,-2.0,290340.0,,424.53,-50.31,458.88,-50.55,492.11,0,18,1488.91,424.53,424.54,,83.3,,,38.21,64.7,
2026-04-04,2026-W14,964.74,272.57,-18667.0,7.0,-18673.0,-6.8,-49.4,-50.54,137.94,-50.94,218.53,25,8,-95.73,-15.09,-15.09,-22.6,64.6,72.9,-42.6,-4.45,0.0,43.5
2026-04-05,2026-W14,1187.41,1270.92,161184.0,617.0,160568.0,1.06,146.32,-50.03,273.88,-50.14,237.1,39,39,826.58,65.57,65.32,44.8,64.6,55.2,145.26,13.17,38.4,19.3
2026-04-06,2026-W15,1113.11,1356.72,364158.0,-134.0,364292.0,24.34,298.24,-50.03,390.0,-50.01,341.62,33,43,1867.48,147.44,147.5,62.2,77.1,46.9,273.9,26.84,46.8,13.2
2026-04-07,2026-W15,1172.57,499.14,21592.0,2190.0,19402.0,134.71,350.01,-21.56,640.5,-38.67,654.25,32,16,110.73,12.92,11.61,32.5,80.2,56.2,215.3,31.5,19.9,0.0
2026-04-08,2026-W15,349.82,578.51,71135.0,-125.0,71261.0,143.38,214.96,-51.91,186.96,-53.74,244.31,12,16,364.79,76.63,76.76,30.0,90.6,71.9,71.58,19.35,69.7,0.0
2026-04-09,2026-W15,1165.22,884.36,156.0,588.0,-431.0,164.43,211.22,-46.88,303.9,6.75,298.39,43,30,0.8,0.08,-0.21,13.3,51.0,39.6,46.78,19.01,29.4,15.9
2026-04-10,2026-W15,1192.5,1423.54,224100.0,1130.0,222969.0,184.49,312.98,-50.0,767.12,-48.18,455.56,43,40,1149.23,85.66,85.23,15.7,87.5,54.2,128.49,28.17,33.0,22.9
2026-04-11,2026-W15,1084.12,475.51,114317.0,1470.0,112848.0,121.13,425.18,-50.19,576.25,-50.35,544.0,32,18,586.24,73.3,72.36,48.5,89.6,61.5,304.05,38.27,37.1,8.8
2026-04-12,2026-W15,841.65,1123.51,104060.0,2160.0,101901.0,70.37,148.43,16.33,266.62,-20.05,232.56,35,44,533.64,52.95,51.85,31.2,64.6,46.9,78.06,13.36,25.0,7.3
2026-04-13,2026-W16,1072.35,755.11,63874.0,2147.0,61728.0,46.4,195.05,-4.61,290.62,49.87,286.33,36,30,327.56,34.95,33.78,50.4,40.6,19.8,148.65,17.55,7.4,53.4
2026-04-14,2026-W16,1217.56,1325.6,267226.0,1584.0,265642.0,111.13,345.97,-50.0,614.56,46.01,516.74,43,40,1370.39,105.08,104.45,35.3,66.7,28.1,234.84,31.14,21.0,34.9
2026-04-15,2026-W16,1105.88,554.2,31703.0,-482.0,32185.0,4.64,105.24,-51.74,188.13,-50.92,170.37,47,32,162.58,19.1,19.39,41.9,78.1,65.6,100.59,9.47,40.7,3.1
2026-04-16,2026-W16,881.47,778.93,262425.0,1551.0,260873.0,19.86,319.6,-50.0,421.75,-50.72,386.6,32,29,1345.77,158.05,157.11,63.5,82.3,43.8,299.74,28.76,44.6,3.5
2026-04-17,2026-W16,1067.15,1383.52,65351.0,81.0,65270.0,46.29,52.61,-50.0,178.99,-50.5,176.5,28,36,335.13,26.67,26.63,2.8,72.9,72.9,6.32,4.73,14.1,43.0
