date,charge_h,discharge_h,ch_mean,dc_mean,avg_price,gross_old,aux_old,net_old,pf_net_old,gross_A,aux_A,net_A,pf_net_A,gross_B,aux_B,net_B,pf_net_B
2026-03-09,13–16,17–20,-50.0,31.93,80.91,65544.0,7768.0,57776.0,67932.0,63245.0,1949.0,61296.0,66938.0,62964.0,1054.0,61910.0,67000.0
2026-03-10,12–15,20–23,-50.0,304.7,149.94,283760.0,14394.0,269366.0,269364.0,261822.0,3612.0,258210.0,254608.0,259140.0,1954.0,257187.0,253145.0
2026-03-11,13–16,18–21,315.13,102.75,339.18,-169904.0,32561.0,-202465.0,121692.0,-177302.0,8171.0,-185473.0,132199.0,-178206.0,4419.0,-182626.0,134254.0
2026-03-12,10–13,20–23,-50.0,109.63,-12.03,127704.0,-1155.0,128859.0,137981.0,119811.0,-290.0,120100.0,124801.0,118846.0,-157.0,119003.0,123163.0
2026-03-13,00–03,20–23,261.97,489.38,210.82,181928.0,20239.0,161689.0,394433.0,146693.0,5079.0,141614.0,372273.0,142386.0,2747.0,139639.0,370043.0
2026-03-14,12–15,17–20,266.25,324.88,373.89,46904.0,35894.0,11010.0,42897.0,23513.0,9007.0,14506.0,62693.0,20654.0,4872.0,15782.0,65961.0
2026-03-15,12–15,17–20,328.04,331.85,322.58,3048.0,30968.0,-27920.0,133987.0,-20845.0,7771.0,-28616.0,142338.0,-23765.0,4203.0,-27969.0,144091.0
2026-03-16,10–13,20–23,-50.0,-37.25,41.61,10200.0,3994.0,6206.0,75992.0,12882.0,1002.0,11880.0,71785.0,13210.0,542.0,12668.0,71365.0
2026-03-17,00–03,05–08,118.79,448.86,196.14,264056.0,18830.0,245226.0,245722.0,231738.0,4725.0,227013.0,236017.0,227788.0,2556.0,225232.0,235277.0
2026-03-18,13–16,18–21,-40.25,212.61,120.09,202288.0,11528.0,190760.0,208347.0,186980.0,2893.0,184087.0,197193.0,185109.0,1565.0,183544.0,196103.0
2026-03-19,12–15,18–21,-50.0,415.81,180.32,372648.0,17310.0,355338.0,398190.0,342710.0,4344.0,338366.0,373761.0,339051.0,2350.0,336701.0,371185.0
2026-03-20,12–15,18–21,-50.0,146.5,122.4,157200.0,11750.0,145450.0,145650.0,146652.0,2949.0,143703.0,140285.0,145363.0,1595.0,143768.0,139908.0
2026-03-21,09–12,19–22,-50.0,-3.47,-13.45,37224.0,-1291.0,38515.0,67167.0,37474.0,-324.0,37798.0,60271.0,37504.0,-175.0,37680.0,59398.0
2026-03-22,11–14,17–20,212.5,556.81,322.63,275448.0,30973.0,244475.0,325477.0,235358.0,7772.0,227585.0,316597.0,230458.0,4204.0,226254.0,316245.0
2026-03-23,13–16,20–23,-50.0,69.07,74.19,95256.0,7122.0,88134.0,88131.0,90283.0,1787.0,88496.0,84893.0,89675.0,967.0,88709.0,84666.0
2026-03-24,12–15,20–23,-50.0,274.38,62.7,259504.0,6019.0,253485.0,253731.0,239749.0,1510.0,238238.0,234862.0,237334.0,817.0,236517.0,232698.0
2026-03-25,12–15,20–23,-50.0,453.75,189.55,403000.0,18197.0,384803.0,384803.0,370330.0,4566.0,365764.0,362164.0,366337.0,2470.0,363867.0,359827.0
2026-03-26,11–14,20–23,95.03,526.22,389.23,344952.0,37366.0,307586.0,307583.0,307064.0,9377.0,297688.0,304527.0,302433.0,5072.0,297362.0,305037.0
2026-03-27,08–11,15–18,275.62,321.05,450.4,36344.0,43238.0,-6894.0,274262.0,13228.0,10850.0,2378.0,278075.0,10403.0,5869.0,4534.0,279564.0
2026-03-28,15–18,20–23,289.27,202.92,323.76,-69080.0,31081.0,-100161.0,62233.0,-83690.0,7799.0,-91490.0,77116.0,-85476.0,4219.0,-89695.0,79671.0
2026-03-29,11–14,20–23,285.98,271.37,287.65,-11688.0,27614.0,-39302.0,113709.0,-31227.0,6929.0,-38156.0,121674.0,-33615.0,3748.0,-37363.0,123301.0
2026-03-30,10–13,18–21,384.88,296.25,393.88,-70904.0,37813.0,-108717.0,107114.0,-92234.0,9489.0,-101723.0,122395.0,-94841.0,5132.0,-99973.0,125157.0
2026-03-31,07–10,20–23,-48.32,292.24,90.76,272448.0,8713.0,263735.0,265086.0,251407.0,2186.0,249220.0,246971.0,248835.0,1183.0,247652.0,244963.0
2026-04-01,13–16,19–22,40.51,399.46,311.49,287160.0,29903.0,257257.0,257260.0,258399.0,7504.0,250895.0,253814.0,254884.0,4059.0,250825.0,254101.0
2026-04-02,13–16,17–20,-50.26,80.83,40.93,104872.0,3929.0,100943.0,100941.0,99052.0,986.0,98066.0,94446.0,98341.0,533.0,97808.0,93745.0
2026-04-03,11–14,19–22,-50.0,453.81,76.77,403048.0,7370.0,395678.0,396819.0,370374.0,1849.0,368524.0,365963.0,366380.0,1000.0,365380.0,362366.0
2026-04-04,11–14,19–22,-50.0,114.0,12.26,131200.0,1177.0,130023.0,143401.0,122992.0,295.0,122697.0,131271.0,121989.0,160.0,121829.0,129816.0
2026-04-05,13–16,20–23,-50.0,273.88,71.19,259104.0,6834.0,252270.0,252266.0,239385.0,1715.0,237670.0,234066.0,236974.0,928.0,236047.0,232003.0
2026-04-06,12–15,19–22,-50.0,251.33,144.06,241064.0,13830.0,227234.0,277431.0,222968.0,3470.0,219498.0,261577.0,220757.0,1877.0,218879.0,259966.0
2026-04-07,12–15,19–22,-12.5,-2.52,180.2,7984.0,17300.0,-9316.0,55050.0,8165.0,4341.0,3824.0,61497.0,8188.0,2348.0,5840.0,62695.0
2026-04-08,07–10,17–20,-49.65,157.35,39.25,165600.0,3768.0,161832.0,185492.0,154271.0,945.0,153325.0,171281.0,152886.0,511.0,152375.0,169633.0
2026-04-09,12–15,20–23,150.25,303.28,151.64,122424.0,14557.0,107867.0,255565.0,100588.0,3653.0,96935.0,242158.0,97919.0,1976.0,95943.0,240864.0
2026-04-10,09–12,20–23,-50.0,767.12,185.0,653696.0,17760.0,635936.0,635939.0,598463.0,4457.0,594007.0,590409.0,591713.0,2411.0,589302.0,585265.0
2026-04-11,13–16,19–22,-50.0,73.91,125.69,99128.0,12066.0,87062.0,138902.0,93806.0,3028.0,90779.0,134353.0,93156.0,1638.0,91518.0,134083.0
2026-04-12,10–13,17–20,40.88,202.0,109.56,128896.0,10517.0,118379.0,180733.0,114352.0,2639.0,111713.0,171398.0,112574.0,1428.0,111147.0,170506.0
2026-04-13,07–10,20–23,11.07,281.25,179.02,216144.0,17186.0,198958.0,206971.0,195894.0,4313.0,191581.0,199670.0,193419.0,2333.0,191086.0,199185.0
2026-04-14,11–14,18–21,-50.0,249.1,270.87,239280.0,26003.0,213277.0,220337.0,221345.0,6525.0,214820.0,217644.0,219153.0,3529.0,215623.0,217930.0
2026-04-15,14–17,20–23,-51.58,100.17,26.18,121400.0,2514.0,118886.0,118887.0,114188.0,631.0,113557.0,109844.0,113306.0,341.0,112965.0,108798.0
2026-04-16,13–16,18–21,-27.5,-34.98,161.68,-5984.0,15522.0,-21506.0,19520.0,-3465.0,3895.0,-7360.0,27993.0,-3158.0,2107.0,-5264.0,29396.0
2026-04-17,13–16,18–21,-49.79,87.23,34.82,109616.0,3343.0,106273.0,166003.0,103335.0,839.0,102497.0,153266.0,102568.0,454.0,102114.0,151788.0
2026-04-18,05–08,09–12,-49.83,-50.0,-35.98,-136.0,-3454.0,3318.0,53948.0,3464.0,-867.0,4331.0,46816.0,3904.0,-469.0,4373.0,45863.0
2026-04-19,13–16,19–22,-47.81,221.75,44.44,215648.0,4266.0,211382.0,211386.0,199682.0,1071.0,198611.0,195173.0,197731.0,579.0,197152.0,193292.0
